,cpress,w_force,speed_ship_sog,rpm,pwr,pred,square_diff
0,1017,7,11.25,65.0,6464,7483.142224372552,1038650.873499033
1,1020,6,11.25,65.2,6329,7279.327658329275,903122.658185604
2,1018,4,11.25,65.5,6284,7295.85488292564,1023850.30410046
3,1014,4,11.25,65.2,6419,7440.881268897384,1044241.3277233276
4,1014,4,11.25,63.9,6104,7092.2119485748635,976562.8553061287
5,1011,5,11.25,63.9,6126,7349.667948513912,1497363.248220246
6,1011,4,11.25,64.4,6261,7395.431935925847,1286935.817248465
7,1011,3,11.25,64.1,6081,7226.630187754688,1312468.5270948426
8,1011,2,11.25,63.8,6081,7057.8284395835335,954193.800379201
9,1012,2,11.25,64.2,6351,7108.739173171229,574168.6545582173
10,1009,2,11.25,64.1,6284,7251.034858834892,935156.4182018187
11,1009,2,11.25,63.9,6419,7197.39342493912,605896.3239884542
12,1007,2,11.25,62.9,6081,7041.930523867961,923387.4717011536
13,1007,5,9.75,63.3,6246,7055.1556016161685,654732.7876268235
14,1008,4,9.75,62.7,6216,6749.519568397505,284643.1298630603
15,1010,3,9.75,64.1,6374,6923.92573993271,302418.31944053835
16,1012,3,9.75,64.7,6486,6972.105773212328,236298.82275035538
17,1012,4,9.75,64.0,6329,6872.700351904622,295610.07266120985
18,1012,4,9.75,64.8,6757,7087.26608748771,109075.6885444398
19,1012,4,9.75,65.4,7185,7248.190389175029,3993.0252840916146
20,1014,6,9.75,65.5,2005,7338.946032370207,28450980.27623787
21,1016,5,9.75,64.1,6419,6762.372129364601,117904.41922438047
22,1019,7,9.75,64.6,6599,6904.038506147475,93048.49023268335
23,1020,8,9.75,64.0,7027,6775.081667583808,63462.846207355135
24,1021,7,9.75,62.3,6486,6174.417747938395,97083.49979978142
25,1024,8,9.75,63.9,6689,6522.772413820519,27631.61040705664
26,1027,4,9.75,64.7,6712,6214.863357482067,247144.84133400317
27,1024,2,9.75,65.1,6532,6314.5834332301665,47269.96350598146
28,1020,2,9.75,64.0,6059,6245.044083618823,34612.40104956749
29,1026,2,9.75,64.4,6284,6014.094146187265,72849.1699223813
30,1021,2,11.25,71.1,8050,8452.019434740712,161619.62590924185
31,1015,5,11.25,73.2,9100,9618.50608785192,268848.5631395028
32,1014,7,11.25,72.8,7186,9744.274548919218,6544768.66764783
33,1019,6,11.25,73.0,8925,9427.715714468242,252723.0895733154
34,1022,5,11.25,72.9,9100,9143.438997581308,1886.9465108689071
35,1021,5,11.25,73.2,8925,9280.273282628816,126219.10534985432
36,1016,5,11.25,74.7,9625,9964.444707866362,115222.70969847955
37,1014,5,11.25,76.5,11025,10559.96188133601,216260.451810543
38,1014,4,11.25,78.4,11200,10981.215906018351,47866.47977937092
39,1014,3,11.25,70.3,8750,8720.398235912076,876.2644371170824
40,1013,3,11.25,70.4,8750,8803.591087063814,2872.004612681344
41,1013,3,11.25,65.4,7000,7462.55523966951,213957.34974571806
42,1013,3,11.25,64.3,6300,7167.52735324276,752603.7086243884
43,1013,3,11.25,64.9,6650,7328.451654930079,460296.64807736274
44,1014,3,11.25,64.1,6300,7057.513785143137,573827.1346818832
45,1013,5,11.25,65.3,6475,7612.413717376617,1293709.964476494
46,1015,4,13.5,81.0,12775,12160.79728549828,377244.9745012814
47,1015,5,13.5,82.95,13300,12772.140863309558,278635.26818757877
48,1015,5,13.5,79.63,11725,11881.693060639736,24552.715252648097
49,1015,4,13.5,80.2,11725,11946.231549915192,48943.39867787803
50,1014,5,13.5,79.71,11025,11959.521768401897,873330.9356170091
51,1016,3,13.5,77.0,11025,10943.256876051488,6681.938312861832
52,1018,3,13.5,79.0,11550,11366.92694660151,33515.74288064627
53,1020,3,13.5,79.8,11375,11468.748413776897,8788.76508568429
54,1018,3,13.5,76.8,10500,10776.871173748015,76657.64685260366
55,1019,3,13.5,77.23,11375,10835.828122420076,290706.31357306015
56,1019,3,13.5,79.0,11375,11310.554812397659,4153.182205100968
57,1018,3,13.5,79.3,11375,11447.389097445168,5240.181428926008
58,1020,4,13.5,77.7,11725,10993.852955198789,534576.0011215447
59,1020,5,13.5,78.9,11550,11404.041155900919,21303.98417073984
60,1020,6,13.5,78.6,11550,11411.918602384754,19066.47236737961
61,1022,5,13.5,77.8,11550,10996.269001066468,306618.01917992695
62,1020,3,13.5,76.0,11200,10449.561169757226,563158.4379361433
63,1019,3,13.5,64.2,6300,7341.088704110516,1083865.6898265139
64,1019,3,11.5,65.3,6475,7157.347814502823,465598.5399567789
65,1018,3,11.5,64.0,6300,6865.050628384155,319282.2126373285
66,1018,3,11.5,64.2,6300,6918.692062279928,382779.8679281903
67,1018,3,11.5,65.4,6475,7240.540665654562,586052.5107708299
68,1018,0,11.5,65.3,6475,6948.701156724182,224392.78588182767
69,1018,0,11.5,65.3,6475,6948.701156724182,224392.78588182767
70,1019,4,11.5,64.1,6650,6923.838808455686,74987.69301643009
71,1019,4,11.5,64.1,6650,6923.838808455686,74987.69301643009
72,1018,4,11.5,73.8,8925,9581.82048660449,431413.15162336
73,1018,3,11.5,72.9,8750,9252.09443674602,252098.8234113028
74,1018,2,11.5,73.3,9275,9271.037707210064,15.699764153181407
75,1018,0,11.5,73.1,8925,9040.717078659298,13390.442293442124
76,1018,5,11.5,73.4,9275,9562.877216140445,82873.29157277246
77,1018,4,11.5,72.9,9100,9340.434034073518,57808.52474086561
78,1018,4,11.5,73.4,9275,9474.537618812948,39815.26132154154
79,1022,6,11.5,72.9,9800,9291.62469191311,258445.4538724404
80,1023,4,11.5,73.2,9100,9139.035513897923,1523.7713452749406
81,1023,2,11.5,73.0,9100,8908.714885347155,36589.99508775192
82,1021,4,11.5,73.3,9275,9278.600499253509,12.96359487451917
83,1021,2,11.5,73.3,6475,9101.921304598513,6900715.540553551
84,1021,2,11.5,64.8,6475,6822.160364028194,120520.31835218798
85,1023,5,11.5,64.1,6475,6786.689868967782,97150.57441715304
86,1020,2,11.5,64.0,6300,6663.966762648956,132471.8043131617
87,1020,2,11.5,65.1,6475,6958.994649075702,234250.82033391192
88,1018,3,11.5,63.8,6300,6811.409194488382,261539.36420725586
89,1018,5,11.5,65.8,6650,7524.502728101099,764755.0214562645
90,1019,4,11.5,63.9,6475,6870.197374559915,156180.96485904997
91,1019,3,11.5,65.4,6650,7184.168531450711,285336.0199922095
92,1018,2,11.5,64.0,6300,6776.711031056658,227253.40713110167
93,1018,3,11.5,65.5,6650,7267.361382602447,381135.07672880444
94,1018,3,11.5,64.0,6475,6865.050628384155,152139.49270287424
95,1017,3,11.5,65.3,6475,7270.092082910524,632171.4203069962
96,1018,2,11.5,63.9,6475,6749.890314108771,75564.68479081891
97,1020,3,11.5,63.8,6300,6698.664926080681,158933.72328691464
98,1020,5,11.5,63.7,6300,6848.523403787792,300877.9245029448
99,1021,3,11.5,64.3,6857,6776.3963766162615,6496.944102587559
100,1021,3,10.0,64.6,6863,6497.78194543409,133384.2273809082
101,1021,3,10.0,64.68,7086,6519.238518992402,321218.57635392627
102,1021,2,10.0,65.35,7358,6610.597725215738,558610.1603526893
103,1021,2,10.0,65.03,7333,6524.771430982504,653233.419776069
104,1021,2,10.0,64.53,7408,6390.667846243074,1034964.7110677065
105,1021,2,10.0,64.82,7358,6468.447925391942,791302.8934395006
106,1020,2,10.0,65.71,7408,6763.524440431978,415348.7468805147
107,1020,3,10.0,64.97,7259,6653.39073234512,366762.58506947965
108,1020,3,10.5,65.79,7333,6993.012805326398,115591.29254202578
109,1021,3,10.5,64.62,7333,6622.838282832279,504329.66453060583
110,1021,3,10.5,65.8,7309,6939.322742817333,136661.2744780996
111,1021,3,10.5,64.59,7185,6614.792067747913,325137.0860032003
112,1022,4,10.5,65.03,7234,6764.770685442259,220176.14964032784
113,1021,3,10.5,64.51,7185,6593.335494189605,350066.8874358589
114,1016,4,10.5,65.68,7358,7277.338150826623,6506.333912068628
115,1022,3,10.5,64.86,7135,6630.835869303354,254181.47068110452
116,1026,3,10.5,64.22,7135,6233.694744021481,812351.164454504
117,1024,3,10.5,65.03,7259,6563.68681970706,483460.4186890827
118,1024,4,10.5,64.01,6912,6378.45510416612,284670.1558703861
119,1024,3,10.5,64.81,6912,6504.6812424217105,165908.57027512134
120,1017,4,11.3,64.8,6986,7176.451217895147,36271.66639774485
121,1017,4,11.3,64.45,7358,7082.578708577547,75856.8877688116
122,1018,4,11.3,63.9,7160,6878.692631160322,79133.83576350265
123,1018,4,11.3,64.91,7383,7149.581872333972,54484.0223231143
124,1018,2,11.3,64.13,7135,6763.701085485464,137862.8839196725
125,1018,2,11.3,65.09,7309,7021.1799681851735,82840.37071388774
126,1018,2,11.3,64.29,7135,6806.614232602085,107837.21222951727
127,1018,3,11.3,65.49,7383,7216.802433304213,27621.63117560054
128,1018,4,11.3,64.57,7209,7058.391434711158,22682.93993836348
129,1021,3,11.3,65.63,7358,7085.235034419702,74400.72644802112
130,1019,2,13.0,75.39,11273,10134.295139242864,1296648.7599119283
131,1019,2,13.0,79.24,12734,11166.892741736478,2455825.1589022144
132,1013,3,9.8,64.97,7655,7000.118794168629,428869.39375115
133,1010,4,9.8,63.84,7056,6954.500692596567,10302.109403376548
134,1011,2,11.3,75.5,10628,10207.82154188707,176549.93666215966
135,1009,3,11.3,74.15,10182,10046.825728825806,18272.083587474415
136,1008,5,11.3,63.5,7200,7423.470702734781,49939.15498077699
137,1011,4,11.3,63.63,7061,7200.881634827984,19566.87176214954
138,1011,4,11.3,64.52,7408,7439.586015664169,997.6763855371472
139,1010,4,11.3,63.9,7011,7329.669704791127,101550.38075166378
140,1010,2,11.3,64.44,7135,7297.822381654716,26511.127967714023
141,1010,3,11.3,63.9,7011,7241.330107463629,53051.958404207
142,1010,4,11.3,64.85,7333,7584.4665157960435,63235.40856660179
143,1012,4,11.3,63.74,6986,7174.012289266809,35348.620915346146
144,1011,4,9.8,60.81,7432,6085.4608348717675,1813167.7232242376
145,1013,2,9.8,62.69,7284,6300.266850429329,967730.9095642326
146,1012,3,9.8,63.68,7432,6710.50367974475,520556.9401418661
147,1012,3,9.8,64.83,7507,7018.94192464544,238200.68491879743
148,1011,4,9.8,63.86,7110,6903.492701782293,42645.26421717701
149,1012,2,9.8,63.75,7160,6640.938584280772,269424.75328844885
150,1012,3,9.8,64.28,7160,6871.427981432067,83273.80990037142
151,1010,3,9.8,67.25,8101,7780.747543191985,102561.63609156969
152,1010,3,9.8,63.82,7036,6860.796951879492,30696.108070717168
153,1007,2,9.8,63.75,7110,6922.799255300025,35044.118816225244
154,1007,3,9.8,64.62,7482,7244.479090074134,56416.18265201152
155,1010,5,9.8,63.77,7432,7024.065788060544,166410.32127066498
156,1011,5,9.8,63.56,7309,6911.370148266133,158109.4989898973
157,1014,7,9.8,63.96,7829,7026.21580810112,644462.4587627373
158,1016,4,9.8,64.72,7829,6852.29019651486,953962.0402239802
159,1020,4,9.8,62.73,7309,6093.069392436524,1478487.2424096835
160,1020,4,9.8,63.93,7309,6414.917995811158,799382.6302143363
161,1020,3,11.3,63.15,7036,6476.453388315978,313092.4106470693
162,1015,3,11.3,63.83,7036,6940.694934580856,9083.055494547285
163,1013,3,11.3,64.3,7383,7179.496572643621,41413.644945792934
164,1011,6,11.3,65.56,8077,7895.200666577181,33050.997632981154
165,1011,6,11.3,72.37,9588,9721.691490728226,17873.414693135393
166,1010,3,11.3,69.12,8696,8641.371532143285,2984.2695003721833
167,1011,3,11.3,65.51,7705,7616.771516120746,7784.2653676317605
168,1011,2,11.3,66.37,7854,7759.09008454507,9007.892051662026
169,1012,3,11.3,68.52,8101,8367.702962048266,71130.46996531896
170,1012,2,11.3,65.28,7482,7410.372135609259,5130.550957178353
171,1012,2,11.3,66.08,7804,7624.937871192347,32063.245973128407
172,1011,3,11.3,65.96,7730,7737.464742386231,55.72237889278894
173,1012,3,11.3,65.34,7532,7514.804163105489,295.69680650261364
174,1010,5,11.3,64.24,7284,7509.199739741435,50714.92277961016
175,1011,5,9.8,64.53,7615,7171.531102660628,196664.66290739866
176,1011,4,9.8,64.43,7383,7056.370788385246,106686.64188007591
177,1013,3,9.8,64.14,7185,6777.506843501176,166050.67259337485
178,1012,2,9.8,63.89,7086,6678.487588007813,166066.3659276896
179,1012,2,9.8,64.53,7383,6850.140176474285,283939.59152785613
180,1011,3,9.8,64.85,7432,7080.678202238866,123427.00558211506
181,1010,3,9.8,64.48,7432,7037.8136837355405,155382.85193014448
182,1011,2,9.8,65.89,6912,7271.274061169386,129077.85102914384
183,1012,3,9.8,65.42,7432,7177.184154637968,64931.11504756686
184,1012,5,9.8,65.14,7383,7278.765341838882,10864.863961965166
185,1014,5,9.8,65.2,7457,7182.113503599913,75562.58590311493
186,1015,4,9.8,66.1,7457,7278.788224599538,31759.43689138475
187,1016,4,9.8,64.82,7383,6879.110913462745,253904.21153134928
188,1014,3,9.8,65.74,7432,7150.266180463501,79373.94507062467
189,1024,7,9.8,64.13,7482,6508.089684874019,948501.3019087868
190,1030,7,9.8,64.83,7680,6357.601898286121,1748736.739416472
191,1032,3,9.8,64.8,7399,5883.453025484063,2296882.6319644107
192,1021,7,9.8,64.33,7408,6730.847521381344,458535.47929938877
193,1025,4,12.5,70.26,9030,8477.14655523959,305646.93138345244
194,1021,2,12.5,72.52,10455,9132.10410042222,1750053.561119702
195,1017,4,12.5,71.84,10405,9351.890956646994,1109038.657191884
196,1012,4,12.5,72.16,10381,9719.57792189948,437479.16539881116
197,1008,5,12.5,74.18,11223,10575.184538389682,419664.87230138987
198,1008,3,12.5,76.78,12363,11095.843984379724,1605684.3679226527
199,1008,3,12.5,70.64,9935,9449.051963779517,236145.49390654397
200,1008,2,12.5,72.33,10158,9813.982482871295,118348.0520913986
