,cpress,w_force,draft_mean,speed_ship_sog,rpm,pwr,pred,lower,upper
0,1019,2,18.4,13.0,75.39,11273,11856.616817451099,11007.150089066972,12706.083545835225
1,1019,2,18.4,13.0,79.24,12734,12901.313772423448,12054.315985237683,13748.311559609212
2,1013,3,18.4,9.8,64.97,7655,7521.384627712478,6768.54793682854,8274.221318596416
3,1010,4,7.685,9.8,63.84,7056,6582.1320904399945,5785.805610363877,7378.458570516112
4,1011,2,9.49,11.3,75.5,10628,10430.924503056418,9609.081590767944,11252.767415344892
5,1009,3,8.28,11.3,74.15,10182,9992.122831556304,9184.21269643686,10800.032966675748
6,1008,5,9.0,11.3,63.5,7200,7213.641709733369,6438.131336653829,7989.152082812909
7,1011,4,8.31,11.3,63.63,7061,7241.475604237004,6480.358734051484,8002.592474422523
8,1011,4,8.045,11.3,64.52,7408,7468.104709252046,6711.145005827364,8225.064412676727
9,1010,4,8.045,11.3,63.9,7011,7273.157384148346,6512.4199165110995,8033.894851785592
10,1010,2,8.045,11.3,64.44,7135,7321.988698566539,6557.9733165103335,8086.004080622744
11,1010,3,8.045,11.3,63.9,7011,7224.308579580161,6463.971577570768,7984.645581589553
12,1010,4,8.045,11.3,64.85,7333,7530.939749661003,6774.229223997778,8287.650275324228
13,1012,4,8.045,11.3,63.74,6986,7283.162232547621,6523.046289395581,8043.278175699661
14,1011,4,17.36,9.8,60.81,7432,6329.6305548742685,5564.824627240959,7094.436482507578
15,1013,2,17.36,9.8,62.69,7284,6795.491505343299,6033.4592395944965,7557.523771092101
16,1012,3,17.345,9.8,63.68,7432,7085.424430340439,6333.553709451204,7837.295151229675
17,1012,3,17.345,9.8,64.83,7507,7397.476767539972,6645.976989111872,8148.976545968071
18,1011,4,17.345,9.8,63.86,7110,7156.405796552425,6404.291882533793,7908.519710571058
19,1012,2,17.345,9.8,63.75,7160,7055.57011586266,6296.322900316121,7814.817331409198
20,1012,3,17.345,9.8,64.28,7160,7248.234345401065,6496.888778534489,7999.579912267642
21,1010,3,17.345,9.8,67.25,8101,8000.72259920239,7239.695022568123,8761.750175836656
22,1010,3,17.345,9.8,63.82,7036,7069.992584772478,6316.30305354211,7823.682116002846
23,1007,2,17.345,9.8,63.75,7110,6922.018051490725,6156.634990031751,7687.401112949699
24,1007,3,17.345,9.8,64.62,7482,7206.941232896819,6447.088652728838,7966.793813064801
25,1010,5,17.345,9.8,63.77,7432,7154.122700987131,6393.258294652945,7914.987107321317
26,1011,5,17.265,9.8,63.56,7309,7119.359902007944,6360.666796950662,7878.053007065226
27,1014,7,17.465,9.8,63.96,7829,7416.953047097113,6632.550757447141,8201.355336747085
28,1016,4,17.465,9.8,64.72,7829,7530.053351551456,6779.233469980244,8280.87323312267
29,1020,4,17.335,9.8,62.73,7309,7089.612954693268,6329.09795584717,7850.127953539366
30,1020,4,17.335,9.8,63.93,7309,7415.2327848145205,6656.787598222361,8173.67797140668
31,1020,3,9.015,11.3,63.15,7036,7342.338431184302,6562.706276710653,8121.970585657951
32,1015,3,9.015,11.3,63.83,7036,7393.304270547743,6631.410372586144,8155.1981685093415
33,1013,3,9.015,11.3,64.3,7383,7467.417878263126,6710.1969439133045,8224.638812612948
34,1011,6,9.015,11.3,65.56,8077,7902.444287846224,7129.262618120851,8675.625957571598
35,1011,6,9.015,11.3,72.37,9588,9750.33682378433,8949.438901793432,10551.234745775228
36,1010,3,8.31,11.3,69.12,8696,8655.62710959916,7896.915059625549,9414.33915957277
37,1011,3,8.31,11.3,65.51,7705,7702.764533525447,6949.346070515493,8456.1829965354
38,1011,2,8.31,11.3,66.37,7854,7887.276607210825,7128.494225426958,8646.058988994691
39,1012,3,7.885,11.3,68.52,8101,8522.386268131046,7764.151749399906,9280.620786862184
40,1012,2,7.885,11.3,65.28,7482,7594.3639222354805,6832.011285186866,8356.716559284096
41,1012,2,7.885,11.3,66.08,7804,7811.443808982981,7050.30004819827,8572.587569767691
42,1011,3,7.885,11.3,65.96,7730,7801.020217664653,7047.143353604699,8554.897081724606
43,1012,3,7.885,11.3,65.34,7532,7659.493718309729,6904.5267203221365,8414.460716297323
44,1010,5,7.885,11.3,64.24,7284,7405.285657419508,6639.054811487622,8171.516503351395
45,1011,5,17.83,9.8,64.53,7615,7414.27806461467,6654.752617544461,8173.80351168488
46,1011,4,17.83,9.8,64.43,7383,7338.294274203048,6585.396789032095,8091.191759374002
47,1013,3,17.83,9.8,64.14,7185,7264.174836437666,6512.228939228456,8016.120733646877
48,1012,2,17.83,9.8,63.89,7086,7120.778154386499,6360.925770528971,7880.630538244028
49,1012,2,17.83,9.8,64.53,7383,7294.442063784501,6535.150655346264,8053.733472222739
50,1011,3,17.83,9.8,64.85,7432,7403.412410177298,6650.486244932374,8156.338575422222
51,1010,3,17.83,9.8,64.48,7432,7276.302549682194,6522.070512219727,8030.534587144661
52,1011,2,17.83,9.8,65.89,6912,7636.767458380866,6875.706320119719,8397.828596642012
53,1012,3,17.83,9.8,65.42,7432,7584.792242359282,6832.092740357827,8337.491744360737
54,1012,5,17.83,9.8,65.14,7383,7606.511891134027,6848.479434238295,8364.54434802976
55,1014,5,17.83,9.8,65.2,7457,7676.213708388864,6920.216260538273,8432.211156239455
56,1015,4,17.83,9.8,66.1,7457,7898.290189286003,7145.297085660242,8651.283292911763
57,1016,4,17.83,9.8,64.82,7383,7577.672783364387,6826.423619224425,8328.921947504348
58,1014,3,17.83,9.8,65.74,7432,7725.045022807055,6971.79488977129,8478.29515584282
59,1024,7,17.83,9.8,64.13,7482,7750.67109774432,6957.208303567152,8544.133891921487
60,1030,7,17.8,9.8,64.83,7680,8099.194822801324,7278.500510714571,8919.889134888077
61,1032,3,13.31,9.8,64.8,7399,7697.093188214655,6838.598378892011,8555.587997537299
62,1021,7,13.285,9.8,64.33,7408,7469.736387160496,6677.302193377765,8262.170580943226
63,1025,4,8.995,12.5,70.26,9030,9976.54673026261,9183.113531836978,10769.97992868824
64,1021,2,8.995,12.5,72.52,10455,10385.258149690379,9600.801778712597,11169.71452066816
65,1017,4,8.995,12.5,71.84,10405,10191.596203593828,9425.473868404755,10957.718538782901
66,1012,4,8.995,12.5,72.16,10381,10144.876093920891,9379.533274329673,10910.21891351211
67,1008,5,8.995,12.5,74.18,11223,10635.009961028973,9844.483041398375,11425.53688065957
68,1008,3,8.995,12.5,76.78,12363,11242.821983821977,10451.643735547914,12034.000232096041
69,1008,3,8.995,12.5,70.64,9935,9576.733853034906,8807.790661285091,10345.677044784721
70,1008,2,8.995,12.5,72.33,10158,9986.466309220816,9217.702684861033,10755.229933580598
