,rep_dt,rpm,w_force,w_rel_0,w_rel_90,pwr,t_2,ucl
0,2016-01-16 12:00:00+00:00,71.1,2,-0.9848501376258619,0.17340763079611216,8050,2.6980857365832303,1.9679406052378368
1,2016-01-17 12:00:00+00:00,73.2,5,-0.8570686318391291,0.515202251855913,9100,2.5236567652653563,1.9679406052378368
2,2016-01-20 12:00:00+00:00,72.9,5,-0.9397805257822319,0.3417785296949939,9100,2.374015382242323,1.9679406052378368
3,2016-01-21 12:00:00+00:00,73.2,5,-0.9397805257822319,0.3417785296949939,8925,2.5664500629148077,1.9679406052378368
4,2016-01-22 12:00:00+00:00,74.7,5,-0.8661603538345258,0.49976618677662565,9625,2.6561160257289633,1.9679406052378368
5,2016-01-23 12:00:00+00:00,76.5,5,-0.8661603538345258,0.49976618677662565,11025,3.091846336730712,1.9679406052378368
6,2016-01-24 12:00:00+00:00,78.4,4,-0.8661603538345258,0.49976618677662565,11200,2.8601071135255305,1.9679406052378368
7,2016-01-25 12:00:00+00:00,70.3,3,-0.7069840537236444,0.7072294873522195,8750,1.4229060838720948,1.9679406052378368
8,2016-01-26 12:00:00+00:00,70.4,3,-0.5734447974442848,0.8192442030823796,8750,1.4645458976229648,1.9679406052378368
9,2016-01-27 12:00:00+00:00,65.4,3,-0.9396222520637187,0.3422134179524604,7000,1.0726808843272067,1.9679406052378368
10,2016-01-28 12:00:00+00:00,64.3,3,-0.9659906767312375,0.2585768985588734,6300,1.4731748870777663,1.9679406052378368
11,2016-01-29 12:00:00+00:00,64.9,3,-0.9397805257822319,0.3417785296949939,6650,1.2068504397042523,1.9679406052378368
12,2016-01-30 12:00:00+00:00,64.1,3,-0.9999999732277038,-0.00023139704322540597,6300,1.6473211081781511,1.9679406052378368
13,2016-01-31 12:00:00+00:00,65.3,5,-0.9962153977108067,-0.08691882053904855,6475,2.5348259377626494,1.9679406052378368
14,2016-02-19 12:00:00+00:00,77.0,3,0.5443123161218841,-0.8388826512200798,11025,2.92842158784437,1.9679406052378368
15,2016-02-21 12:00:00+00:00,79.8,3,-0.4066027572860339,-0.9136050556818271,11375,3.2706677911267583,1.9679406052378368
16,2016-02-22 12:00:00+00:00,76.8,3,-0.1567658510658501,-0.9876357972145399,10500,2.8524137429190453,1.9679406052378368
17,2016-02-23 12:00:00+00:00,77.23,3,0.5295899842012766,-0.8482537642909058,11375,3.252068292427363,1.9679406052378368
18,2016-02-24 12:00:00+00:00,79.0,3,0.7431809525247193,-0.6690904810296221,11375,2.869950401577266,1.9679406052378368
19,2016-02-25 12:00:00+00:00,79.3,3,0.7771775121040222,-0.6292814272484152,11375,2.8493779156048373,1.9679406052378368
20,2016-03-01 12:00:00+00:00,76.0,3,0.9612673652167305,-0.27561758392614355,11200,3.0973953434008057,1.9679406052378368
21,2016-03-06 12:00:00+00:00,64.2,3,-0.7069840537236444,0.7072294873522195,6300,1.3226373539832352,1.9679406052378368
22,2016-03-07 12:00:00+00:00,65.3,3,-0.7662262047788809,0.6425709323570064,6475,1.4920370464715802,1.9679406052378368
23,2016-03-08 12:00:00+00:00,64.0,3,0.39038438068967124,0.9206519620972639,6300,1.7732776885375918,1.9679406052378368
24,2016-03-10 12:00:00+00:00,64.2,3,0.39038438068967124,0.9206519620972639,6300,1.809255559423989,1.9679406052378368
25,2016-03-11 12:00:00+00:00,65.4,3,1.0,0.0,6475,2.2243479874015466,1.9679406052378368
26,2016-03-14 12:00:00+00:00,64.1,4,-0.8830730942991092,-0.4692354527579908,6650,2.1395571982011186,1.9679406052378368
27,2016-03-15 12:00:00+00:00,64.1,4,-0.9206067890392633,-0.39049089614844706,6650,2.0425500515195427,1.9679406052378368
28,2016-03-23 12:00:00+00:00,72.9,3,-0.4066027572860339,0.9136050556818271,8750,2.291363437460107,1.9679406052378368
29,2016-03-24 12:00:00+00:00,73.3,2,-0.4066027572860339,0.9136050556818271,9275,2.528018444208124,1.9679406052378368
30,2016-03-26 12:00:00+00:00,73.4,5,1.0,0.0,9275,2.8107428871098388,1.9679406052378368
31,2016-03-27 12:00:00+00:00,72.9,4,0.707147685608313,0.7070658743984229,9100,2.2165314168086834,1.9679406052378368
32,2016-03-28 12:00:00+00:00,73.4,4,1.0,0.0,9275,2.0917403845454094,1.9679406052378368
33,2016-03-30 12:00:00+00:00,73.2,4,0.9063213688765172,0.42258913416910765,9100,2.1908755208679067,1.9679406052378368
34,2016-03-31 12:00:00+00:00,73.0,2,-0.39059740638005375,0.920561603657884,9100,2.5100040004687023,1.9679406052378368
35,2016-04-01 12:00:00+00:00,73.3,4,0.8191778508833826,0.5735395789499471,9275,2.189329334231148,1.9679406052378368
36,2016-04-02 12:00:00+00:00,73.3,2,0.9659308169396761,-0.25880041902255485,6475,6.195384618250876,1.9679406052378368
37,2016-04-03 12:00:00+00:00,64.8,2,0.9135580062287844,-0.4067084573195993,6475,2.6491431385293214,1.9679406052378368
38,2016-04-04 12:00:00+00:00,64.1,5,0.9335901007735459,-0.35834274617695333,6475,3.3982133966422596,1.9679406052378368
39,2016-04-10 12:00:00+00:00,64.0,2,-0.9815857058604871,-0.19102225537975767,6300,2.397469036304077,1.9679406052378368
40,2016-04-11 12:00:00+00:00,65.1,2,-0.6693483955347892,0.7429486694213829,6475,1.918646300992853,1.9679406052378368
41,2016-04-12 12:00:00+00:00,63.8,3,-0.8193105443148524,-0.5733500082624055,6300,2.2953852259149015,1.9679406052378368
42,2016-04-13 12:00:00+00:00,65.8,5,-0.6945344450640665,-0.7194594530753968,6650,2.9129054948123407,1.9679406052378368
43,2016-04-14 12:00:00+00:00,63.9,4,-0.9998436526852753,-0.017682482432241978,6475,1.6765616070877785,1.9679406052378368
44,2016-04-15 12:00:00+00:00,65.4,3,-0.8193105443148524,0.5733500082624055,6650,1.272789653872054,1.9679406052378368
45,2016-04-16 12:00:00+00:00,64.0,2,0.6424822768165239,0.7663005441578751,6300,2.0207485801315395,1.9679406052378368
46,2016-04-17 12:00:00+00:00,65.5,3,-0.9848501376258619,0.17340763079611216,6650,1.4762947852113837,1.9679406052378368
47,2016-04-18 12:00:00+00:00,64.0,3,-0.9064191304883591,0.422379402770456,6475,1.1589280567207758,1.9679406052378368
48,2016-04-19 12:00:00+00:00,65.3,3,0.9335901007735459,-0.35834274617695333,6475,2.403017928225678,1.9679406052378368
49,2016-04-20 12:00:00+00:00,63.9,2,0.9335901007735459,-0.35834274617695333,6475,2.6571225250202137,1.9679406052378368
50,2016-04-21 12:00:00+00:00,63.8,3,-0.573823877396945,0.8189787284961288,6300,1.2598694144679787,1.9679406052378368
51,2016-04-22 12:00:00+00:00,63.7,5,-0.9999999732277038,-0.00023139704322540597,6300,2.460239926790438,1.9679406052378368
52,2016-04-25 12:00:00+00:00,64.3,3,0.7547441581464198,0.6560192495223384,6857,1.805713603296498,1.9679406052378368
53,2016-04-26 12:00:00+00:00,64.6,3,-0.6291915047468051,0.7772503138336138,6863,1.0040293246506065,1.9679406052378368
54,2016-04-27 12:00:00+00:00,64.68,3,-0.6291915047468051,0.7772503138336138,7086,1.0880410750170273,1.9679406052378368
55,2016-04-28 12:00:00+00:00,65.35,2,-0.48467581598782733,0.8746938626722688,7358,1.7128869054085807,1.9679406052378368
56,2016-04-29 12:00:00+00:00,65.03,2,-0.48467581598782733,0.8746938626722688,7333,1.7644148596578861,1.9679406052378368
57,2016-04-30 12:00:00+00:00,64.53,2,-0.48467581598782733,0.8746938626722688,7408,1.9980652934832233,1.9679406052378368
58,2016-05-01 12:00:00+00:00,64.82,2,0.2589121740586325,0.9659008676485555,7358,1.982854814269105,1.9679406052378368
59,2016-05-02 12:00:00+00:00,65.71,2,0.5299824943033312,0.8480085823457328,7408,1.8699219699532628,1.9679406052378368
60,2016-05-03 12:00:00+00:00,64.97,3,0.139277488512296,0.9902533924171668,7259,1.5447679122192284,1.9679406052378368
61,2016-05-04 12:00:00+00:00,65.79,3,0.8191778508833826,0.5735395789499471,7333,1.7147051278782741,1.9679406052378368
62,2016-05-05 12:00:00+00:00,64.62,3,0.139277488512296,0.9902533924171668,7333,1.737335389235022,1.9679406052378368
63,2016-05-06 12:00:00+00:00,65.8,3,0.34210470275583466,0.9396618393615557,7309,1.4898882594795024,1.9679406052378368
64,2016-05-07 12:00:00+00:00,64.59,3,-0.9815857058604871,0.19102225537975767,7185,1.4905996197849483,1.9679406052378368
65,2016-05-08 12:00:00+00:00,65.03,4,0.9993909167451305,0.03489692719033604,7234,2.528877459289686,1.9679406052378368
66,2016-05-09 12:00:00+00:00,64.51,3,0.707147685608313,0.7070658743984229,7185,1.9172319130483204,1.9679406052378368
67,2016-05-17 12:00:00+00:00,64.86,3,-0.4998663969047425,0.8661025258279014,7135,1.1316760453697443,1.9679406052378368
68,2016-05-18 12:00:00+00:00,64.22,3,-0.8190451135893688,-0.5737291189275457,7135,2.4878224677985297,1.9679406052378368
69,2016-05-19 12:00:00+00:00,65.03,3,-0.6562811783522279,0.7545164113129755,7259,1.12598064669359,1.9679406052378368
70,2016-05-20 12:00:00+00:00,64.01,4,-0.6020542119407419,0.7984552121969097,6912,1.578065103818542,1.9679406052378368
71,2016-05-21 12:00:00+00:00,64.81,3,-0.22527295791082735,0.9742956914787761,6912,1.2272583727906115,1.9679406052378368
72,2016-05-22 12:00:00+00:00,64.8,4,-0.9999999732277038,0.00023139704322540597,6986,1.5701559887901664,1.9679406052378368
73,2016-05-23 12:00:00+00:00,64.45,4,-0.9999999732277038,0.00023139704322540597,7358,2.018113819469861,1.9679406052378368
74,2016-05-24 12:00:00+00:00,63.9,4,-0.46933761986953376,0.8830187985400996,7160,1.9106315645368002,1.9679406052378368
75,2016-05-25 12:00:00+00:00,64.91,4,-0.9999999732277038,0.00023139704322540597,7383,1.8420206824308833,1.9679406052378368
76,2016-05-26 12:00:00+00:00,64.13,2,-0.9999999732277038,0.00023139704322540597,7135,2.381905719657623,1.9679406052378368
77,2016-05-27 12:00:00+00:00,65.09,2,0.8290620131515228,0.5591566670881644,7309,2.0922598422136613,1.9679406052378368
78,2016-05-28 12:00:00+00:00,64.29,2,-0.8091801773083158,0.5875605846644945,7135,1.8715736545878898,1.9679406052378368
79,2016-05-29 12:00:00+00:00,65.49,3,-0.6948673322583503,0.719137949603665,7383,1.0901077401510595,1.9679406052378368
80,2016-05-30 12:00:00+00:00,64.57,4,-0.6948673322583503,0.719137949603665,7209,1.576190272747146,1.9679406052378368
81,2016-05-31 12:00:00+00:00,65.63,3,-0.25868866052213635,0.9659607533007036,7358,1.2394701843722529,1.9679406052378368
