,cpress,w_force,draft_mean,rpm,speed_sog,pwr
0,1018.0,3.0,7.790000000000001,64.0,8.565217391304348,6300.0
1,1019.0,3.0,7.790000000000001,65.3,11.708333333333334,6475.0
2,1019.0,3.0,7.790000000000001,64.2,11.411764705882353,6300.0
3,1021.0,3.0,7.83,65.63,11.458333333333334,7358.0
4,1011.0,2.0,7.935,63.8,11.625,6081.0
5,1009.0,2.0,7.935,64.1,11.625,6284.0
6,1009.0,2.0,7.935,63.9,11.541666666666666,6419.0
7,1007.0,2.0,7.935,62.9,11.5,6081.0
8,1012.0,2.0,7.935,64.2,11.875,6351.0
9,1020.0,6.0,7.995000000000001,65.2,11.75,6329.0
10,1021.0,2.0,7.995000000000001,71.1,13.0,8050.0
11,1015.0,5.0,7.995000000000001,73.2,13.125,9100.0
12,1014.0,7.0,7.995000000000001,72.8,12.625,7186.0
13,1019.0,6.0,7.995000000000001,73.0,12.826086956521738,8925.0
14,1022.0,5.0,7.995000000000001,72.9,12.875,9100.0
15,1021.0,5.0,7.995000000000001,73.2,12.333333333333334,8925.0
16,1016.0,5.0,7.995000000000001,74.7,12.5,9625.0
17,1014.0,3.0,7.995000000000001,70.3,13.083333333333334,8750.0
18,1013.0,3.0,7.995000000000001,70.4,11.956521739130435,8750.0
19,1011.0,3.0,7.995000000000001,64.1,11.958333333333334,6081.0
20,1011.0,4.0,7.995000000000001,64.4,11.833333333333334,6261.0
21,1011.0,5.0,7.995000000000001,63.9,11.25,6126.0
22,1014.0,4.0,7.995000000000001,63.9,11.416666666666666,6104.0
23,1014.0,4.0,7.995000000000001,65.2,11.041666666666666,6419.0
24,1017.0,6.0,7.995000000000001,64.1,11.869565217391305,6134.0
25,1017.0,7.0,7.995000000000001,65.0,11.791666666666666,6464.0
26,1018.0,4.0,7.995000000000001,65.5,11.541666666666666,6284.0
27,1022.0,3.0,8.06,64.86,11.428571428571429,7135.0
28,1018.0,0.0,8.08,65.3,13.125,6475.0
29,1018.0,3.0,8.08,64.2,12.545454545454545,6300.0
30,1019.0,4.0,8.08,64.1,11.375,6650.0
31,1018.0,0.0,8.08,65.3,12.875,6475.0
32,1018.0,3.0,8.08,65.4,13.0,6475.0
33,1019.0,4.0,8.08,64.1,10.791666666666666,6650.0
34,1020.0,2.0,8.1,64.0,11.220657276995304,6300.0
35,1019.0,3.0,8.1,65.4,11.416666666666666,6650.0
36,1019.0,4.0,8.1,63.9,9.666666666666666,6475.0
37,1018.0,5.0,8.1,65.8,11.083333333333334,6650.0
38,1018.0,3.0,8.1,63.8,10.625,6300.0
39,1020.0,2.0,8.1,65.1,11.375,6475.0
40,1018.0,3.0,8.155000000000001,64.0,11.666666666666666,6475.0
41,1018.0,2.0,8.155000000000001,64.0,11.75,6300.0
42,1018.0,3.0,8.155000000000001,65.5,11.833333333333334,6650.0
43,1018.0,2.0,8.155000000000001,63.9,11.958333333333334,6475.0
44,1020.0,3.0,8.155000000000001,63.8,11.291666666666666,6300.0
45,1017.0,3.0,8.155000000000001,65.3,11.958333333333334,6475.0
46,1020.0,5.0,8.155000000000001,63.7,10.75,6300.0
47,1026.0,3.0,8.25,64.22,11.916666666666666,7135.0
48,1024.0,3.0,8.25,64.81,11.291666666666666,6912.0
49,1017.0,4.0,8.25,64.8,10.625,6986.0
50,1024.0,3.0,8.25,65.03,11.333333333333334,7259.0
51,1024.0,4.0,8.25,64.01,11.208333333333334,6912.0
52,1018.0,4.0,8.93,64.57,11.291666666666666,7209.0
53,1018.0,3.0,8.93,65.49,11.291666666666666,7383.0
54,1018.0,2.0,8.93,64.29,11.916666666666666,7135.0
55,1018.0,2.0,8.93,65.09,12.375,7309.0
56,1018.0,4.0,8.93,64.91,11.666666666666666,7383.0
57,1018.0,4.0,8.93,63.9,11.208333333333334,7160.0
58,1017.0,4.0,8.93,64.45,11.25,7358.0
59,1018.0,2.0,8.93,64.13,12.375,7135.0
60,1013.0,3.0,9.085,65.4,11.958333333333334,7000.0
61,1013.0,5.0,9.085,65.3,12.166666666666666,6475.0
62,1014.0,3.0,9.085,64.1,11.478260869565217,6300.0
63,1013.0,3.0,9.085,64.9,11.875,6650.0
64,1013.0,3.0,9.085,64.3,11.416666666666666,6300.0
65,1012.0,4.0,17.645,65.4,8.916666666666666,7185.0
66,1008.0,4.0,17.645,62.7,9.894736842105264,6216.0
67,1010.0,3.0,17.645,64.1,9.876543209876543,6374.0
68,1012.0,3.0,17.645,64.7,11.166666666666666,6486.0
69,1012.0,4.0,17.645,64.0,11.208333333333334,6329.0
70,1012.0,4.0,17.645,64.8,10.208333333333334,6757.0
71,1007.0,5.0,17.645,63.3,10.05181347150259,6246.0
72,1019.0,7.0,17.645,64.6,9.666666666666666,6599.0
73,1020.0,8.0,17.645,64.0,7.791666666666667,7027.0
74,1021.0,7.0,17.645,62.3,8.041666666666666,6486.0
75,1024.0,8.0,17.645,63.9,9.333333333333334,6689.0
76,1027.0,4.0,17.645,64.7,9.083333333333334,6712.0
77,1024.0,2.0,17.645,65.1,10.0,6532.0
78,1020.0,4.0,17.645,64.0,9.708333333333334,6059.0
79,1026.0,2.0,17.645,64.4,9.666666666666666,6284.0
80,1016.0,5.0,17.645,64.1,9.625,6419.0
81,1016.0,4.0,18.35,65.68,9.958333333333334,7358.0
82,1021.0,3.0,18.385,64.3,10.277777777777777,6857.0
83,1021.0,3.0,18.385,64.6,10.208333333333334,6863.0
84,1021.0,3.0,18.385,64.68,10.25,7086.0
85,1021.0,2.0,18.385,65.35,9.333333333333334,7358.0
86,1021.0,2.0,18.385,64.53,9.625,7408.0
87,1021.0,2.0,18.385,64.82,9.666666666666666,7358.0
88,1021.0,2.0,18.385,65.03,10.583333333333334,7333.0
89,1020.0,3.0,18.385,64.97,10.083333333333334,7259.0
90,1020.0,3.0,18.385,65.79,10.125,7333.0
91,1021.0,3.0,18.385,64.62,10.166666666666666,7333.0
92,1021.0,3.0,18.385,65.8,10.166666666666666,7309.0
93,1021.0,3.0,18.385,64.59,10.375,7185.0
94,1022.0,4.0,18.385,65.03,9.625,7234.0
95,1021.0,3.0,18.385,64.51,9.625,7185.0
96,1020.0,2.0,18.385,65.71,10.5,7408.0
97,1018.0,4.0,18.39,73.8,11.76923076923077,8925.0
98,1018.0,3.0,18.39,72.9,11.25,8750.0
99,1018.0,2.0,18.39,73.3,11.291666666666666,9275.0
100,1018.0,0.0,18.39,73.1,11.291666666666666,8925.0
101,1018.0,5.0,18.39,73.4,10.833333333333334,9275.0
102,1018.0,4.0,18.39,72.9,10.166666666666666,9100.0
103,1023.0,2.0,18.39,73.0,11.5,9100.0
104,1023.0,4.0,18.39,73.2,11.291666666666666,9100.0
105,1021.0,4.0,18.39,73.3,11.666666666666666,9275.0
106,1021.0,2.0,18.39,73.3,10.625,6475.0
107,1021.0,2.0,18.39,64.8,9.458333333333334,6475.0
108,1023.0,5.0,18.39,64.1,9.0,6475.0
109,1018.0,4.0,18.39,73.4,11.125,9275.0
